x,fresnel_c(x),fresnel_s(x)
0.421875,0.41858960774647926688720067224989829255216945591635823213365456544993923645,0.039095313904396922861658505744158897187564037916144146735895765590179241089
0.4375,0.43356166644468459033044864440831276017677610388390013510578269282202873399,0.04356398620345838675895698638681068952871436138908209295019982575232511216
0.453125,0.4484342916238356076890226954472371078643502620264446659439398624255166163,0.048353132666624053245739110087341920917162122376452902828322452484329141858
0.46875,0.46319670206889683372453359004725531860597795606066491323180763027388418972,0.053471867595131997952090738590085351641335031214056029325216103756451974743
0.484375,0.47783741297596802095232565082756088350832376993387633116467444714998361298,0.058928888345456115390338280229606585253471846918096368789149734094364453956
0.5,0.4923442258714463928788436651566816377660951457715012532946526193191076796,0.064732432859999277611480512230614767650725918493512492787588945648286897674
0.515625,0.50670422094695699816165823837663858955228328551400747654963829738538897911,0.070890234805228351702136335980918654068662032310999740607689850397948295719
0.53125,0.52090375203772390282065996504704552280788069836096809047617984587523433063,0.07740947634718613226739444606419660827163089071257563360038407291109876996
0.546875,0.53492844448199243450060714096179827421900240768608067355291937996283735766,0.084296738612021797167152435480261824821974456583428965871823494926449193208
0.5625,0.54876319610834695080310565782385271887024069623654064932004190823287609755,0.091557949898394939394929123723774555823625362428870756267317063328295033647
0.578125,0.56239218160614422589983005908058653086297587768820587876190306891772742937,0.099198331729365903356294995850136639563902870332471459853839382738520384106
0.59375,0.57579886054163268228864390456881139825842525067326466456348307206265114526,0.10722234285371444002595571285296308935309360821373641542977837916786963873
0.609375,0.58896598928847409109996446040535065126766358298551294691578391216410189551,0.11563362133054544539732651150666280638472343618557051555539841875650202207
0.625,0.60187563714613758822211236562488318517875103287767074027019223058883270538,0.12443492485654742427300761538506968213926380232918118978851748357872360944
0.640625,0.6145092069227956374499438314557224138178997458165286736291133750374950476,0.13362806952235405349826025357243590775345967784917695036581688443080581306
0.65625,0.62684746026070735217269822390783126148872145628608107519730966583636451784,0.14321386721309276728290467208333975075557234642776163958431921546906693042
0.671875,0.63887054798140623155158938601725909030530927248145470209844724723914096499,0.15319206189833895337930899800192445257938348075199220631646897305122003896
0.6875,0.65055804572508811570350097883950567514650828813955613364065442527809557805,0.16356126508826181991029933653419948420091128461963190361391246704709053192
0.703125,0.6618889951531848024840711794481769094100093846971191669285949801020493475,0.17431889076565734807702109556616030295082105445569524116353000148247800195
0.71875,0.6728419509749670515016618754650749899681460404923088634208313750215326623,0.18546109013769944025113404080107673128770210507442236443662584862800746388
0.734375,0.68339503404790104972806781836928776094831125884175189601788553287184172169,0.19698268658646021610915103466619371385397005360307642636939787909823952619
0.75,0.69352599078713589748587590899395547906399732841291677040841725550919319084,0.20887711123338357022239297712186820302464098022842791847538066883332017234
0.765625,0.70321225910167730280488189660779259245386062666614525181076261675669715448,0.22113633956974116359775540806147194901242678227629318302957881950895274425
0.78125,0.71243104105325800591275725924312591541222208010986464733538759941916057953,0.23375082964242310681918415990389028186386734425680762112590496486554281928
0.796875,0.7211593824084075512591385891077017794857420283649921938807251930051478384,0.24670946232194863031515897119620768465689178941624292033732267751514492758
0.8125,0.72937425922452073042234910102251414907248297365765968600585739568026030502,0.25999948421702116107593226492454948932308787500776644511142125460570997995
0.828125,0.73705267157660562380305288211834627426342771310247618597561476779864300883,0.27360645383695638077027597725285342076512354141954417833830334782353389741
0.84375,0.74417174449265540880738264605567917771043165569918007914450513490635492695,0.28751419163950163740019665119860596468450818302748044140515737732761026967
0.859375,0.7507088361220505311596527852501800068059442108815666271996899338283291625,0.30170473463652194122527661055503420604987614592157913302028557793289578453
0.875,0.75664165311290255019680858424287815826697361545772774741788855877313505328,0.31615829626329342074143398180362139541447072433198138285169444905286715743
0.890625,0.76194837312067167800278191971952104894733485708029178295575504709045013585,0.33085323224822147717506132200290136186325402015523552673733258580945418878
0.90625,0.76660777431163646003194717762512074408771663110282268607947370627529764893,0.34576601324815046009698434515806254305224873773560686280495992425800300987
0.921875,0.77059937166081763765100381100541698705030220645241463393684160756218912019,0.3608712050394784635419442925714309987491349594575373465860767095064759738
0.9375,0.77390355977475814250128095840313052334000870464187636493263901076670044678,0.37614145707642173699430883531048450656965467997409610779793358236656006702
0.953125,0.77650176189519047509431469932023360129019586188353761600755134995970704307,0.39154750024434024380947467417890333094350195902403960991588389158215031026
0.96875,0.7783765846601948225836025829709828510558823312884338040959201771902412886,0.40705815464735907485357254501019415644443412470323646123229248100164394891
